Banjarbaru,few clouds,25.04
Banjarmasin,few clouds,25.08
Banjarbaru,few clouds,24.99
Tanjung,clear sky,26.54
Banjarmasin,light rain,30.08
Banjarmasin,light rain,30.08
Jakarta,haze,32.54
Banjarmasin,light rain,30.08
Arab,overcast clouds,18.07
hokkaido,scattered clouds,6.98
